,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2006,3,3,0,0,2,0,56,119,39.67,70.0,1,0
1,2007,15,12,1,0,0,3,42,144,13.09,56.69,3,0
2,2008,11,11,2,0,0,0,47*,221,24.56,81.55,2,0
3,2009,6,5,1,0,0,0,33,83,20.75,72.17,2,0
4,2010,5,5,0,0,0,1,28,77,15.4,65.81,2,0
5,2011,2,2,0,0,0,1,22,22,11.0,51.16,1,0
6,Overall (6),42,38,4,0,2,5,56,666,19.59,68.66,11,0
