,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2003,1,1,0,0,0,0,12,12,12.0,60.0,0,0
1,2006,6,6,0,0,0,1,44,165,27.5,63.22,3,0
2,2007,12,12,1,0,2,1,83,315,28.64,70.16,3,0
3,2008,6,6,0,1,0,0,130,214,35.67,81.99,3,0
4,2009,2,2,1,0,0,0,30*,32,32.0,59.26,0,0
5,Overall (5),27,27,2,1,2,2,130,738,29.52,70.62,9,0
