,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2003,2,2,0,0,0,0,9,13,6.5,33.33,0,0
1,2004,7,7,0,0,0,1,40,110,15.71,43.48,0,0
2,2005,7,7,0,0,2,0,58,186,26.57,67.64,2,0
3,Overall (3),16,16,0,0,2,1,58,309,19.31,54.5,2,0
