,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2011,3,2,2,0,0,0,9*,10,,43.48,1,0
1,2013,3,3,1,0,0,0,26,39,19.5,105.41,0,0
2,2014,5,3,1,0,0,0,18,32,16.0,66.67,1,0
3,2015,1,0,0,0,0,0,0,0,,,0,0
4,2016,7,4,2,0,0,0,12*,18,9.0,62.07,4,0
5,2017,7,6,2,0,0,1,16*,45,11.25,73.77,3,0
6,2018,10,7,2,0,0,1,34,67,13.4,65.69,1,0
7,2019,2,2,1,0,0,1,13*,13,13.0,185.71,0,0
8,Overall (8),38,27,11,0,0,3,34,224,14.0,72.96,10,0
