,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2010,3,1,1,0,0,0,6*,6,,60.0,0,0
1,2014,2,1,0,0,0,0,1,1,1.0,50.0,1,0
2,2015,7,6,3,0,0,1,14,18,6.0,69.23,0,0
3,2018,8,4,4,0,0,0,16*,36,,78.26,5,0
4,2019,4,2,1,0,0,1,5*,5,5.0,45.45,0,0
5,Overall (5),24,14,9,0,0,2,16*,66,13.2,69.47,6,0
