,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1997,9,4,2,0,0,1,5*,10,5.0,66.67,2,0
1,1998,1,1,1,0,0,0,1*,1,,20.0,0,0
2,Overall (2),10,5,3,0,0,1,5*,11,5.5,55.0,2,0
