,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2009,2,1,1,0,0,0,29*,29,,90.63,3,0
1,2011,7,6,0,0,0,1,15,41,6.83,53.95,7,3
2,2012,7,7,1,0,0,1,37,120,20.0,61.54,7,3
3,2013,5,5,0,0,0,1,19,48,9.6,78.69,6,0
4,Overall (4),21,19,2,0,0,3,37,238,14.0,65.38,23,6
