,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2016,4,2,0,0,0,0,36,45,22.5,100.0,2,0
1,2017,28,19,3,0,4,1,83,557,34.81,120.56,9,0
2,2018,10,6,1,0,0,1,21,68,13.6,87.18,7,0
3,2019,3,2,0,0,0,0,45,61,30.5,145.24,2,0
4,Overall (4),45,29,4,0,4,2,83,731,29.24,116.59,20,0
