,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2013,2,2,0,0,1,0,96,121,60.5,75.16,0,0
1,2014,8,8,0,0,1,2,62,145,18.13,76.72,3,0
2,Overall (2),10,10,0,0,2,2,96,266,26.6,76.0,3,0
