,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1997,3,3,0,0,0,0,25,52,17.33,71.23,0,0
1,1998,1,1,0,0,0,0,14,14,14.0,53.85,0,0
2,Overall (2),4,4,0,0,0,0,25,66,16.5,66.67,0,0
