,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2007,3,2,1,0,0,0,5*,9,9.0,56.25,2,0
1,2008,3,2,1,0,0,0,14,16,16.0,42.11,0,0
2,Overall (2),6,4,2,0,0,0,14,25,12.5,46.3,2,0
