,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2006,3,3,0,0,1,1,86,98,32.67,79.67,1,0
1,2007,22,20,3,0,3,2,70,509,29.94,111.38,10,0
2,2008,13,11,2,0,1,0,51,179,19.89,65.09,4,0
3,2014,5,5,1,0,1,0,50,104,26.0,88.14,1,1
4,2015,3,3,0,0,0,1,31,44,14.67,75.86,3,1
5,Overall (5),46,42,6,0,6,4,86,934,25.94,90.59,19,2
