,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2013,2,1,0,0,1,0,74,74,74.0,125.42,0,0
1,2014,2,1,0,0,0,0,3,3,3.0,150.0,1,0
2,2018,2,2,0,0,0,0,20,39,19.5,111.43,0,0
3,Overall (3),6,4,0,0,1,0,74,116,29.0,120.83,1,0
