,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2002,2,1,1,0,0,0,3*,3,,150.0,0,0
1,2003,3,1,1,0,0,0,1*,1,,,2,0
2,2005,3,1,0,0,0,1,0,0,0.0,,0,0
3,2006,3,0,0,0,0,0,0,0,,,1,0
4,2008,2,0,0,0,0,0,0,0,,,0,0
5,Overall (5),13,3,2,0,0,1,3*,4,4.0,80.0,3,0
