,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2010,11,8,3,0,1,1,51,150,30.0,130.43,3,0
1,2011,5,5,1,0,1,0,59,117,29.25,94.35,1,0
2,2013,24,24,7,0,4,3,85*,544,32.0,90.97,8,0
3,2014,18,15,5,0,1,1,65,279,27.9,88.29,11,0
4,2015,24,21,5,2,1,2,138*,729,45.56,109.46,14,0
5,2016,5,5,2,1,0,0,118*,207,69.0,137.09,7,0
6,2017,13,10,4,1,2,0,117*,370,61.67,99.2,5,0
7,2018,12,12,1,1,2,1,139,384,34.91,97.46,5,0
8,2019,8,6,3,0,0,0,41*,142,47.33,88.75,5,0
9,Overall (9),120,106,31,5,12,8,139,2922,38.96,100.86,59,0
