,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1984,2,2,1,0,0,0,14*,18,18.0,90.0,2,0
1,1985,7,7,3,0,0,0,24,41,10.25,71.93,0,0
2,1986,5,3,0,0,0,0,12,27,9.0,81.82,0,0
3,Overall (3),14,12,4,0,0,0,24,86,10.75,78.18,2,0
