,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2009,6,6,1,1,1,1,100*,217,43.4,69.77,2,0
1,2010,5,5,1,0,0,1,8,11,2.75,29.73,0,0
2,Overall (2),11,11,2,1,1,2,100*,228,25.33,65.52,2,0
