,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2006,4,2,0,0,0,1,16,16,8.0,114.29,1,0
1,2007,2,2,0,0,0,1,4,4,2.0,21.05,0,0
2,2008,3,3,0,0,0,0,11,18,6.0,85.71,0,0
3,Overall (3),9,7,0,0,0,2,16,38,5.43,70.37,1,0
