,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1993,7,5,4,0,0,1,12*,27,27.0,77.14,3,0
1,1994,2,1,1,0,0,0,20*,20,,40.82,0,0
2,1996,4,3,0,0,0,1,27,34,11.33,59.65,3,0
3,1997,11,4,2,0,0,1,16*,22,11.0,73.33,2,0
4,1998,9,6,3,0,0,1,23*,36,12.0,72.0,3,0
5,1999,6,4,0,0,0,1,10,20,5.0,40.82,0,0
6,2000,3,3,1,0,0,1,23,24,12.0,34.29,1,0
7,Overall (7),42,26,11,0,0,6,27,183,12.2,53.82,12,0
