,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1993,3,3,1,0,0,0,23*,25,12.5,56.82,3,0
1,1994,2,2,0,0,0,0,19,32,16.0,48.48,0,0
2,2002,1,1,1,0,0,0,4*,4,,66.67,2,0
3,Overall (3),6,6,2,0,0,0,23*,61,15.25,52.59,5,0
