,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1973,2,2,1,0,1,0,53*,79,79.0,48.77,0,0
1,1975,6,6,1,0,2,0,78,234,46.8,75.0,2,0
2,1977,1,1,0,0,0,0,24,24,24.0,52.17,0,0
3,1978,2,2,0,0,0,0,34,41,20.5,66.13,1,0
4,1979,9,7,1,0,0,0,49,182,30.33,57.78,4,0
5,1980,10,9,1,0,3,0,66,264,33.0,61.97,1,0
6,1981,1,1,0,0,0,0,2,2,2.0,25.0,0,0
7,Overall (7),31,28,4,0,6,0,78,826,34.42,62.06,8,0
