,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2006,5,5,1,0,0,1,30,58,14.5,61.05,6,2
1,2007,13,12,2,0,1,1,51,187,18.7,69.52,7,7
2,2008,6,5,0,0,1,0,59,129,25.8,63.86,8,1
3,2009,3,3,0,0,0,1,43,58,19.33,78.38,1,1
4,Overall (4),27,25,3,0,2,3,59,432,19.64,67.5,22,11
