,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1975,2,2,1,0,0,0,4*,8,8.0,50.0,1,0
1,1977,1,1,0,0,0,0,18,18,18.0,64.29,1,0
2,Overall (2),3,3,1,0,0,0,18,26,13.0,59.09,2,0
