,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2013,10,10,1,0,3,0,73,363,40.33,81.57,5,0
1,2014,8,8,1,0,1,0,89*,209,29.86,85.66,2,0
2,2015,7,6,0,0,1,1,50,153,25.5,86.93,2,0
3,2016,1,1,0,0,0,0,10,10,10.0,62.5,0,0
4,Overall (4),26,25,2,0,5,1,89*,735,31.96,83.43,9,0
