,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2012,5,4,0,0,0,0,42,93,23.25,58.86,3,0
1,2015,1,1,1,0,0,0,5*,5,,250.0,0,0
2,2018,2,2,0,0,0,0,4,6,3.0,35.29,1,0
3,Overall (3),8,7,1,0,0,0,42,104,17.33,58.76,4,0
