,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2009,1,1,0,0,0,1,0,0,0.0,,0,0
1,2010,5,3,1,0,0,0,20,40,20.0,58.82,0,0
2,Overall (2),6,4,1,0,0,1,20,40,13.33,57.97,0,0
